Capture_Date,Android_Id,Type,Activity,Confidence
20190301102057,76837825cd035a1b,activity,Still,100
20190301102103,76837825cd035a1b,activity,Still,100
20190301102535,76837825cd035a1b,activity,Tilting,100
20190301103035,76837825cd035a1b,activity,Tilting,100
20190301103104,76837825cd035a1b,activity,Unknown,31
20190301154726,76837825cd035a1b,activity,Tilting,100
20190301154726,76837825cd035a1b,activity,On Foot,34
20190301154731,76837825cd035a1b,activity,On Foot,85
20190301155222,76837825cd035a1b,activity,On Foot,48
20190301160705,76837825cd035a1b,activity,Still,52
20190301160710,76837825cd035a1b,activity,Still,54
20190301160723,76837825cd035a1b,activity,Tilting,100
20190301160723,76837825cd035a1b,activity,Still,27
20190301160727,76837825cd035a1b,activity,In Vehicle,25
20190301180827,76837825cd035a1b,activity,On Bicycle,25
