Capture_Date,Android_Id,Type,Event,Value
20190301101554,76837825cd035a1b,proximity,Monitor,1
20190301101554,76837825cd035a1b,proximity,Visibility,0
20190301101624,76837825cd035a1b,proximity,Monitor,0
20190301102034,76837825cd035a1b,proximity,Monitor,1
20190301102034,76837825cd035a1b,proximity,Visibility,0
20190301102104,76837825cd035a1b,proximity,Monitor,0
20190301102534,76837825cd035a1b,proximity,Monitor,1
20190301102534,76837825cd035a1b,proximity,Visibility,0
20190301102604,76837825cd035a1b,proximity,Monitor,0
20190301103034,76837825cd035a1b,proximity,Monitor,1
20190301103034,76837825cd035a1b,proximity,Visibility,0
20190301103104,76837825cd035a1b,proximity,Monitor,0
20190301103534,76837825cd035a1b,proximity,Monitor,1
20190301103534,76837825cd035a1b,proximity,Visibility,0
20190301103550,76837825cd035a1b,proximity,Visibility,1
20190301103551,76837825cd035a1b,proximity,RSSI,-71
20190301103552,76837825cd035a1b,proximity,RSSI,-69
20190301103604,76837825cd035a1b,proximity,Monitor,0
20190301140128,76837825cd035a1b,proximity,Monitor,1
20190301140128,76837825cd035a1b,proximity,Visibility,0
20190301140128,76837825cd035a1b,proximity,Visibility,1
20190301140129,76837825cd035a1b,proximity,RSSI,-54
20190301140134,76837825cd035a1b,proximity,RSSI,-49
20190301140135,76837825cd035a1b,proximity,RSSI,-52
20190301140149,76837825cd035a1b,proximity,RSSI,-59
20190301140150,76837825cd035a1b,proximity,RSSI,-58
20190301140155,76837825cd035a1b,proximity,RSSI,-51
20190301140158,76837825cd035a1b,proximity,Monitor,0
